age,income,loan_amount,term_months,credit_score,num_of_defaults,employment_years,home_ownership,purpose,monthly_payment,dti,prob_default,default
59,49216,8755,60,659,1,7,RENT,small_business,94.09,0.0229,0.22,0
49,48748,26794,36,673,0,18,RENT,debt_consolidation,825.76,0.2033,0.319,0
35,28429,8541,36,685,0,3,RENT,home_improvement,308.47,0.1302,0.2248,0
63,32101,2902,60,670,0,17,MORTGAGE,credit_card,1.92,0.0007,0.0487,0
28,30535,21675,36,648,0,12,RENT,home_improvement,601.36,0.2363,0.4233,0
41,30725,35735,36,701,0,21,RENT,credit_card,996.38,0.3891,0.6593,1
59,42238,6913,36,644,0,6,OWN,home_improvement,200.04,0.0568,0.0949,0
39,22220,27240,60,581,0,25,MORTGAGE,debt_consolidation,492.77,0.2661,0.4616,0
43,36172,5668,48,794,1,2,MORTGAGE,debt_consolidation,101.49,0.0337,0.1048,0
31,70902,13875,36,711,0,13,OWN,other,407.02,0.0689,0.1058,0
31,66466,14308,60,586,0,8,RENT,home_improvement,270.12,0.0488,0.1433,0
44,29002,7180,36,632,0,2,RENT,small_business,224.23,0.0928,0.2556,0
56,69164,23753,36,610,1,6,MORTGAGE,credit_card,683.59,0.1186,0.3433,0
60,10671,1000,48,615,0,14,OWN,credit_card,48.58,0.0546,0.1015,0
44,98582,16950,48,710,0,3,MORTGAGE,credit_card,363.88,0.0443,0.0945,0
23,76006,25741,36,626,0,4,RENT,debt_consolidation,619.13,0.0977,0.223,1
42,38805,22921,12,784,0,27,RENT,home_improvement,1859.38,0.575,0.8574,1
22,57648,19912,24,526,0,8,OWN,small_business,765.0,0.1592,0.4781,1
44,21981,30852,48,647,0,2,MORTGAGE,other,589.05,0.3216,0.576,0
64,51208,12803,60,556,0,15,OTHER,credit_card,163.91,0.0384,0.1057,0
50,46326,1000,48,672,1,15,MORTGAGE,credit_card,72.66,0.0188,0.1095,1
58,33304,16352,60,681,0,18,OWN,small_business,339.24,0.1222,0.1966,0
22,40628,13742,48,712,2,24,OWN,major_purchase,318.45,0.0941,0.2727,0
41,38660,1000,60,564,0,8,MORTGAGE,other,-32.99,-0.0102,0.0672,0
53,27365,3748,36,680,0,28,RENT,home_improvement,58.0,0.0254,0.0639,0
32,32837,2473,36,588,0,19,OTHER,other,36.39,0.0133,0.069,0
42,21163,6854,36,656,0,0,OWN,debt_consolidation,153.77,0.0872,0.1602,0
64,67146,11488,36,619,0,16,OTHER,home_improvement,385.14,0.0688,0.1022,0
45,31357,11871,48,561,0,11,MORTGAGE,debt_consolidation,179.45,0.0687,0.1756,1
69,25559,7211,60,700,0,8,RENT,home_improvement,135.88,0.0638,0.1142,1
47,66830,2460,36,631,0,21,RENT,home_improvement,4.64,0.0008,0.0647,0
62,57392,18774,60,710,0,4,RENT,debt_consolidation,337.7,0.0706,0.1254,0
48,66090,16165,36,715,0,28,RENT,credit_card,429.92,0.0781,0.0987,1
36,68321,16466,36,741,0,27,RENT,debt_consolidation,401.29,0.0705,0.0848,0
35,88749,32790,48,614,0,14,OWN,debt_consolidation,655.22,0.0886,0.2161,0
67,46879,16628,36,584,1,25,RENT,debt_consolidation,486.91,0.1246,0.3519,1
64,20847,11333,36,734,0,12,RENT,credit_card,233.41,0.1344,0.1552,0
23,55420,13941,48,657,1,18,OTHER,debt_consolidation,259.06,0.0561,0.1456,0
57,36619,15988,60,744,0,2,RENT,debt_consolidation,257.11,0.0843,0.1567,0
27,30849,21157,48,567,0,1,MORTGAGE,debt_consolidation,371.96,0.1447,0.3723,1
41,51998,14552,36,698,0,12,RENT,debt_consolidation,356.6,0.0823,0.1207,0
29,67315,1000,12,653,0,6,MORTGAGE,debt_consolidation,155.97,0.0278,0.0796,0
